seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,all_flights_size_avg,all_flights_size_std,deliveries_per_flight_avg,deliveries_per_flight_std,avg_energy_per_flight_avg,avg_energy_per_flight_std,avg_weight_per_flight_avg,avg_weight_per_flight_std,n_prime_avg,n_prime_std
111,50,100,4,10,5,5000,10,0.05,0.5,9,1,33,150,0,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,1199.24,7.48749,0.0,0.0,0.0,0.0,0.0,0.0,12.5449,0.110295
127,100,100,4,10,5,5000,10,0.05,0.5,9,1,33,150,0,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,2849.42,10.6654,0.0,0.0,0.0,0.0,0.0,0.0,13.8876,0.0679308
143,150,100,4,10,5,5000,10,0.05,0.5,9,1,33,150,0,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,4502.0,13.9978,0.0,0.0,0.0,0.0,0.0,0.0,14.2277,0.0742745
159,200,100,4,10,5,5000,10,0.05,0.5,9,1,33,150,0,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,6153.15,10.8613,0.0,0.0,0.0,0.0,0.0,0.0,14.3982,0.05411
175,250,100,4,10,5,5000,10,0.05,0.5,9,1,33,150,0,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,7801.0,16.1516,0.0,0.0,0.0,0.0,0.0,0.0,14.4921,0.0526543
191,300,100,4,10,5,5000,10,0.05,0.5,9,1,33,150,0,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,9452.33,18.0477,0.0,0.0,0.0,0.0,0.0,0.0,14.5551,0.0454882
271,350,100,4,10,5,5000,10,0.05,0.5,9,1,33,150,0,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,11111.7,20.0109,0.0,0.0,0.0,0.0,0.0,0.0,14.3564,0.0509988
287,400,100,4,10,5,5000,10,0.05,0.5,9,1,33,150,0,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,12756.1,24.0273,0.0,0.0,0.0,0.0,0.0,0.0,14.3926,0.0396932
303,450,100,4,10,5,5000,10,0.05,0.5,9,1,33,150,0,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,14418.5,17.8194,0.0,0.0,0.0,0.0,0.0,0.0,14.4091,0.0451993
319,500,100,4,10,5,5000,10,0.05,0.5,9,1,33,150,0,1,1.0,0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,16066.0,15.9687,0.0,0.0,0.0,0.0,0.0,0.0,14.417,0.0330757
