seed,num_deliveries,max_len_road,max_interval_len,max_profit,max_weight,drone_battery,drone_load,height,distance,algorithm,solution_space,iterations,energy_unit_cost,energy_per_delivery,regularly_spaced,deliveries_starting_point,error,exponent,total_profit_avg,total_profit_std,total_energy_avg,total_energy_std,total_flights_avg,total_flights_std,all_flights_size_avg,all_flights_size_std,deliveries_per_flight_avg,deliveries_per_flight_std,avg_energy_per_flight_avg,avg_energy_per_flight_std,avg_weight_per_flight_avg,avg_weight_per_flight_std,n_prime_avg,n_prime_std
3,50,100,4,10,1,2500,5,0.05,0.5,9,1,33,150,0,1,1.0,0.0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,724.848,5.20216,0.0,0.0,0.0,0.0,0.0,0.0,6.47478,0.0788639
19,100,100,4,10,1,2500,5,0.05,0.5,9,1,33,150,0,1,1.0,0.0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,1545.27,8.8406,0.0,0.0,0.0,0.0,0.0,0.0,6.68791,0.0659992
35,150,100,4,10,1,2500,5,0.05,0.5,9,1,33,150,0,1,1.0,0.0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,2363.7,11.8282,0.0,0.0,0.0,0.0,0.0,0.0,6.72468,0.0462564
51,200,100,4,10,1,2500,5,0.05,0.5,9,1,33,150,0,1,1.0,0.0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,3178.52,14.7044,0.0,0.0,0.0,0.0,0.0,0.0,6.76385,0.0410867
67,250,100,4,10,1,2500,5,0.05,0.5,9,1,33,150,0,1,1.0,0.0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,4002.27,12.6873,0.0,0.0,0.0,0.0,0.0,0.0,6.77593,0.0360694
83,300,100,4,10,1,2500,5,0.05,0.5,9,1,33,150,0,1,1.0,0.0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,4816.48,15.5965,0.0,0.0,0.0,0.0,0.0,0.0,6.78728,0.0287428
99,350,100,4,10,1,2500,5,0.05,0.5,9,1,33,150,0,1,1.0,0.0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,5637.12,20.2392,0.0,0.0,0.0,0.0,0.0,0.0,6.29763,0.041561
115,400,100,4,10,1,2500,5,0.05,0.5,9,1,33,150,0,1,1.0,0.0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,6452.39,17.6609,0.0,0.0,0.0,0.0,0.0,0.0,6.30269,0.0421644
131,450,100,4,10,1,2500,5,0.05,0.5,9,1,33,150,0,1,1.0,0.0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,7276.12,20.1137,0.0,0.0,0.0,0.0,0.0,0.0,6.30875,0.0378789
147,500,100,4,10,1,2500,5,0.05,0.5,9,1,33,150,0,1,1.0,0.0,0,-1.0,0.0,-1.0,0.0,0.0,0.0,8094.33,17.9835,0.0,0.0,0.0,0.0,0.0,0.0,6.31951,0.0366541
